drug1,drug2,similarity
DB01132,DB00482,0.259
DB00812,DB00482,0.23
DB01229,DB00482,0.489
DB00295,DB00482,0.434
DB00471,DB00482,0.178
DB00959,DB00482,0.218
DB00563,DB00482,0.387
DB00814,DB00482,0.798
DB00227,DB00482,0.416
DB00678,DB00482,0.17
DB00555,DB00482,0.173
DB01009,DB00482,0.629
DB01221,DB00482,0.208
DB00328,DB00482,0.838
DB00281,DB00482,0.209
DB01050,DB00482,0.942
DB00741,DB00482,0.225
DB00502,DB00482,0.15
DB01016,DB00482,0.151
DB00695,DB00482,0.157
DB00158,DB00482,0.302
DB00712,DB00482,0.615
DB00472,DB00482,0.284
DB00544,DB00482,0.471
DB00773,DB00482,0.372
DB00749,DB00482,0.823
DB00313,DB00482,0.28
DB00255,DB00482,0.466
DB00586,DB00482,0.942
DB00829,DB00482,0.153
DB00470,DB00482,0.276
DB00363,DB00482,0.15
DB00758,DB00482,0.262
DB00575,DB00482,0.156
DB00501,DB00482,0.354
DB00439,DB00482,0.431
DB00661,DB00482,0.409
DB00201,DB00482,0.155
DB00945,DB00482,0.942
DB00437,DB00482,0.169
DB00252,DB00482,0.224
DB00445,DB00482,0.438
DB00997,DB00482,0.438
DB00788,DB00482,0.919
DB00368,DB00482,0.257
DB00184,DB00482,0.349
DB01065,DB00482,0.158
DB00668,DB00482,0.295
DB00988,DB00482,0.151
DB00783,DB00482,0.37
DB00936,DB00482,0.529
DB00640,DB00482,0.153
DB03128,DB00482,0.52
DB00917,DB00482,0.914
DB01268,DB00482,0.3
DB01254,DB00482,0.217
DB00398,DB00482,0.344
DB00530,DB00482,0.537
DB01098,DB00482,0.218
DB00317,DB00482,0.626
DB00570,DB00482,0.213
DB00361,DB00482,0.23
DB01586,DB00482,0.32
DB00619,DB00482,0.368
DB00715,DB00482,0.21
DB01043,DB00482,0.212
DB00458,DB00482,0.172
DB01095,DB00482,0.161
DB00813,DB00482,0.217
DB00927,DB00482,0.467
DB01248,DB00482,0.431
DB00861,DB00482,0.423
DB00921,DB00482,0.156
DB00321,DB00482,0.218
DB00819,DB00482,0.208
DB00382,DB00482,0.15
DB04557,DB00482,0.79
DB00285,DB00482,0.23
DB01104,DB00482,0.3
DB00734,DB00482,0.215
DB00334,DB00482,0.195
DB01242,DB00482,0.151
DB00215,DB00482,0.213
DB01175,DB00482,0.213
DB01224,DB00482,0.151
DB00500,DB00482,0.405
DB01097,DB00482,0.273
DB01167,DB00482,0.151
DB00759,DB00586,0.314
DB01165,DB00586,0.343
DB00199,DB00586,0.291
DB00537,DB00586,0.33
DB01212,DB00586,0.23
DB00564,DB00586,0.655
DB00316,DB00586,0.764
DB00254,DB00586,0.359
DB00554,DB00586,0.879
DB00795,DB00586,0.388
DB04216,DB00586,0.21
DB00641,DB00586,0.258
DB01393,DB00586,0.388
DB00177,DB00586,0.155
DB00197,DB00586,0.207
DB00523,DB00586,0.259
